x,y,id
55.412136,-29.35343,STU_ATH97_032SM
32.875946,-26.859905,STU_ATH97_033SM
30.750835,-26.913462,STU_ATH97_034SM
76.92795,-59.601105,STU_ATH97_035SM
78.28812,-55.558872,STU_ATH97_036SM
78.22252,-56.232555,STU_ATH97_037SM
78.14653,-56.436844,STU_ATH97_038SM
78.145454,-56.43785,STU_ATH97_039SM
76.92315,-59.59395,STU_ATH97_040SM
28.41052,-40.57266,STU_ATH97_041SM
78.34985,-57.044685,STU_ATH97_042SM
78.24155,-56.957485,STU_ATH97_043SM
77.68502,-62.140377,STU_ATH97_044SM
78.11725,-56.417603,STU_ATH97_045SM
78.11704,-56.417995,STU_ATH97_046SM
78.14728,-55.932693,STU_ATH97_047SM
52.60297,-26.661797,STU_ATH97_048SM
74.28293,-62.47481,STU_ATH97_049SM
76.3233,-61.681255,STU_ATH97_050SM
78.19269,-56.608234,STU_ATH97_051SM
77.91694,-61.933384,STU_ATH97_052SM
79.357124,-61.02721,STU_ATH97_053SM
77.22104,-62.23793,STU_ATH97_054SM
79.67728,-60.67647,STU_ATH97_055SM
78.05062,-61.96452,STU_ATH97_056SM
37.443874,-22.5228,STU_ATH97_057SM
5.6303873,-28.504135,STU_ATH97_058SM
52.482243,-26.691023,STU_ATH97_059SM
77.28596,-62.196198,STU_ATH97_060SM
78.336205,-62.068398,STU_ATH97_061SM
55.66899,-31.765139,STU_ATH97_062SM
76.92599,-59.597935,STU_ATH97_063SM
64.6426,-42.982414,STU_ATH97_064SM
64.71225,-42.988094,STU_ATH97_065SM
77.049225,-59.200447,STU_ATH97_066SM
64.29132,-43.089767,STU_ATH97_067SM
73.37664,-58.77087,STU_ATH97_068SM
75.78938,-61.35201,STU_ATH97_069SM
75.352234,-61.956184,STU_ATH97_070SM
52.468098,-26.553993,STU_ATH97_071SM
36.159683,16.338583,STU_ATH98_001SM
35.932514,16.736013,STU_ATH98_002SM
35.959587,16.692999,STU_ATH98_003SM
35.664753,18.103395,STU_ATH98_004SM
36.011745,16.89708,STU_ATH98_005SM
35.86241,16.647562,STU_ATH98_006SM
28.180046,-44.923923,STU_ATH98_007SM
83.349945,-36.807415,STU_ATH98_008SM
74.18632,-60.10969,STU_ATH98_009SM
75.75885,-58.832584,STU_ATH98_010SM
1.2925042,60.788834,STU_ATH98_011SM
65.66456,-41.0907,STU_ATH98_012SM
77.13199,-58.72063,STU_ATH98_013SM
74.74481,-59.770016,STU_ATH98_014SM
73.717705,-58.90453,STU_ATH98_015SM
77.7076,-58.86745,STU_ATH98_017SM
76.10259,-58.023087,STU_ATH98_018SM
78.35231,-57.04415,STU_ATH98_019SM
79.01492,-57.139206,STU_ATH98_020SM
80.2382,-57.681046,STU_ATH98_021SM
