photoID,filename,imagepath,aID
307,76-19,evimg2/a1-195/76-19.JPG,46.0
308,77-20,evimg2/a1-195/77-20.JPG,46.0
309,77-21,evimg2/a1-195/77-21.JPG,46.0
310,77-22,evimg2/a1-195/77-22.JPG,46.0
311,77-23,evimg2/a1-195/77-23.JPG,46.0
312,77-24,evimg2/a1-195/77-24.JPG,46.0
313,77-25,evimg2/a1-195/77-25.JPG,46.0
314,78-26,evimg2/a1-195/78-26.JPG,46.0
315,78-27,evimg2/a1-195/78-27.JPG,46.0
316,78-28,evimg2/a1-195/78-28.JPG,46.0
317,78-29,evimg2/a1-195/78-29.JPG,46.0
318,78-30,evimg2/a1-195/78-30.JPG,46.0
319,78-31,evimg2/a1-195/78-31.JPG,46.0
320,79-32,evimg2/a1-195/79-32.JPG,46.0
321,79-33,evimg2/a1-195/79-33.JPG,46.0
322,79-34,evimg2/a1-195/79-34.JPG,46.0
323,79-35,evimg2/a1-195/79-35.JPG,46.0
324,79-36,evimg2/a1-195/79-36.JPG,46.0
325,79-37,evimg2/a1-195/79-37.JPG,46.0
326,sta_g_sale_001sm,evimg2/a1-196/STA_G_SALE_001SM.jpg,47.0
327,sta_g_sale_002sm,evimg2/a1-196/STA_G_SALE_002SM.jpg,47.0
328,sta_g_sale_003sm,evimg2/a1-196/STA_G_SALE_003SM.jpg,47.0
329,sta_g_sale_004sm,evimg2/a1-196/STA_G_SALE_004SM.jpg,47.0
330,sta_g_sale_005sm,evimg2/a1-196/STA_G_SALE_005SM.jpg,47.0
331,sta_g_sale_006sm,evimg2/a1-196/STA_G_SALE_006SM.jpg,47.0
332,sta_g_sale_007sm,evimg2/a1-196/STA_G_SALE_007SM.jpg,47.0
333,sta_g_sale_008sm,evimg2/a1-196/STA_G_SALE_008SM.jpg,47.0
334,sta_g_sale_009sm,evimg2/a1-196/STA_G_SALE_009SM.jpg,47.0
335,sta_g_sale_010sm,evimg2/a1-196/STA_G_SALE_010SM.jpg,47.0
336,sta_g_sale_011sm,evimg2/a1-196/STA_G_SALE_011SM.jpg,47.0
337,sta_g_sale_012sm,evimg2/a1-196/STA_G_SALE_012SM.jpg,47.0
338,sta_g_sale_013sm,evimg2/a1-196/STA_G_SALE_013SM.jpg,47.0
339,sta_g_sale_014sm,evimg2/a1-196/STA_G_SALE_014SM.jpg,47.0
340,sta_g_sale_015sm,evimg2/a1-196/STA_G_SALE_015SM.jpg,47.0
341,sta_g_sale_016sm,evimg2/a1-196/STA_G_SALE_016SM.jpg,47.0
342,sta_g_sale_017sm,evimg2/a1-196/STA_G_SALE_017SM.jpg,47.0
343,sta_g_sale_018sm,evimg2/a1-196/STA_G_SALE_018SM.jpg,47.0
344,sta_g_sale_019sm,evimg2/a1-196/STA_G_SALE_019SM.jpg,47.0
345,sta_g_sale_020sm,evimg2/a1-196/STA_G_SALE_020SM.jpg,47.0
346,sta_g_sale_021sm,evimg2/a1-196/STA_G_SALE_021SM.jpg,47.0
347,sta_g_sale_022sm,evimg2/a1-196/STA_G_SALE_022SM.jpg,47.0
348,sta_g_sale_023sm,evimg2/a1-196/STA_G_SALE_023SM.jpg,47.0
349,sta_g_sale_024sm,evimg2/a1-196/STA_G_SALE_024SM.jpg,47.0
350,sta_g_sale_025sm,evimg2/a1-196/STA_G_SALE_025SM.jpg,47.0
351,sta_g_sale_026sm,evimg2/a1-196/STA_G_SALE_026SM.jpg,47.0
352,sta_g_sale_027sm,evimg2/a1-196/STA_G_SALE_027SM.jpg,47.0
353,sta_g_sale_028sm,evimg2/a1-196/STA_G_SALE_028SM.jpg,47.0
354,sta_g_sale_029sm,evimg2/a1-196/STA_G_SALE_029SM.jpg,47.0
355,sta_g_sale_030sm,evimg2/a1-196/STA_G_SALE_030SM.jpg,47.0
356,sta_g_sale_031sm,evimg2/a1-196/STA_G_SALE_031SM.jpg,47.0
357,sta_g_sale_032sm,evimg2/a1-196/STA_G_SALE_032SM.jpg,47.0
358,sta_g_sale_033sm,evimg2/a1-196/STA_G_SALE_033SM.jpg,47.0
359,sta_g_sale_034sm,evimg2/a1-196/STA_G_SALE_034SM.jpg,47.0
360,sta_g_sale_035sm,evimg2/a1-196/STA_G_SALE_035SM.jpg,47.0
361,sta_g_sale_036sm,evimg2/a1-196/STA_G_SALE_036SM.jpg,47.0
362,sta_lt_nt_001sm,evimg2/a1-198/STA_LT_NT_001SM.jpg,48.0
363,sta_lt_nt_002sm,evimg2/a1-198/STA_LT_NT_002SM.jpg,48.0
364,sta_lt_nt_003sm,evimg2/a1-198/STA_LT_NT_003SM.jpg,48.0
365,sta_lt_nt_004sm,evimg2/a1-198/STA_LT_NT_004SM.jpg,48.0
366,sta_lt_nt_005sm,evimg2/a1-198/STA_LT_NT_005SM.jpg,48.0
367,sta_lt_nt_006sm,evimg2/a1-198/STA_LT_NT_006SM.jpg,48.0
368,sta_lt_nt_007sm,evimg2/a1-198/STA_LT_NT_007SM.jpg,48.0
369,sta_lt_nt_008sm,evimg2/a1-198/STA_LT_NT_008SM.jpg,48.0
370,sta_lt_nt_009sm,evimg2/a1-198/STA_LT_NT_009SM.jpg,48.0
371,sta_lt_nt_010sm,evimg2/a1-198/STA_LT_NT_010SM.jpg,48.0
372,sta_lt_nt_011sm,evimg2/a1-198/STA_LT_NT_011SM.jpg,48.0
373,sta_lt_nt_012sm,evimg2/a1-198/STA_LT_NT_012SM.jpg,48.0
374,sta_lt_nt_013sm,evimg2/a1-198/STA_LT_NT_013SM.jpg,48.0
375,sta_lt_nt_014sm,evimg2/a1-198/STA_LT_NT_014SM.jpg,48.0
376,sta_lt_nt_015sm,evimg2/a1-198/STA_LT_NT_015SM.jpg,48.0
377,sta_lt_nt_016sm,evimg2/a1-198/STA_LT_NT_016SM.jpg,48.0
378,sta_lt_nt_017sm,evimg2/a1-198/STA_LT_NT_017SM.jpg,48.0
379,sta_lt_nt_018sm,evimg2/a1-198/STA_LT_NT_018SM.jpg,48.0
380,100-21,evimg2/a1-20/100-21.JPG,49.0
381,100-22,evimg2/a1-20/100-22.JPG,49.0
382,100-23,evimg2/a1-20/100-23.JPG,49.0
383,100-24,evimg2/a1-20/100-24.JPG,49.0
384,100-25,evimg2/a1-20/100-25.JPG,49.0
385,100-26,evimg2/a1-20/100-26.JPG,49.0
386,101-16,evimg2/a1-20/101-16.JPG,49.0
387,101-17,evimg2/a1-20/101-17.JPG,49.0
388,101-18,evimg2/a1-20/101-18.JPG,49.0
389,101-19,evimg2/a1-20/101-19.JPG,49.0
390,101-20,evimg2/a1-20/101-20.JPG,49.0
391,sta_pkc_001sm,evimg2/a1-200/STA_PKC_001SM.jpg,50.0
392,sta_pkc_002sm,evimg2/a1-200/STA_PKC_002SM.jpg,50.0
393,sta_pkc_003sm,evimg2/a1-200/STA_PKC_003SM.jpg,50.0
394,sta_pkc_004sm,evimg2/a1-200/STA_PKC_004SM.jpg,50.0
395,sta_pkc_005sm,evimg2/a1-200/STA_PKC_005SM.jpg,50.0
396,sta_pkc_006sm,evimg2/a1-200/STA_PKC_006SM.jpg,50.0
397,sta_pkc_007sm,evimg2/a1-200/STA_PKC_007SM.jpg,50.0
398,sta_pkc_008sm,evimg2/a1-200/STA_PKC_008SM.jpg,50.0
399,sta_pkc_009sm,evimg2/a1-200/STA_PKC_009SM.jpg,50.0
400,sta_pkc_010sm,evimg2/a1-200/STA_PKC_010SM.jpg,50.0
401,sta_soc_001sm,evimg2/a1-220/STA_SOC_001SM.jpg,51.0
402,sta_soc_002sm,evimg2/a1-220/STA_SOC_002SM.jpg,51.0
403,sta_soc_003sm,evimg2/a1-220/STA_SOC_003SM.jpg,51.0
404,sta_soc_004sm,evimg2/a1-220/STA_SOC_004SM.jpg,51.0
405,sta_soc_005sm,evimg2/a1-220/STA_SOC_005SM.jpg,51.0
406,87-17,evimg2/a1-225/87-17.JPG,52.0
